Test Type,RMSE,DTW min values,DTW max values,DTW avg values,DTW range values,min index,max index,DTW min values by class,DTW max values by class,DTW avg values by class,DTW range values by class,min index by class,max index by class
Beef with 8 segments for 2 permutations and nobottleneck,0.690604082733645,35.3651978588357,250.031945704794,83.2297412116788,214.666747845958,11,2,"[54.10777229787036, 35.36519785883575, 35.60726343511749, 38.24718932829088, 41.673541186181275]","[250.03194570479354, 148.26192496022878, 98.73092528133631, 130.6521652780126, 138.02370371334715]","[131.52539751486896, 72.45842649237623, 62.65560643560358, 67.8970682544463, 81.61220736109898]","[195.9241734069232, 112.89672710139303, 63.12366184621882, 92.40497594972172, 96.35016252716588]","[0, 11, 17, 23, 28]","[2, 6, 15, 22, 29]"
Beef with 8 segments for 3 permutations and nobottleneck,0.628808040823031,37.7112463435768,154.807205394533,73.3927373376615,117.095959050956,6,4,"[51.57318947119274, 37.711246343576796, 39.343047686234975, 44.59405267843655, 46.435141673279134]","[154.80720539453273, 74.56352696710567, 91.30271953844122, 136.19306363652646, 135.80675499616927]","[94.89299377060742, 53.478127701580775, 66.11728531784088, 72.48978731742146, 79.98549258085696]","[103.23401592334, 36.85228062352888, 51.95967185220625, 91.5990109580899, 89.37161332289014]","[0, 6, 13, 19, 29]","[4, 9, 12, 23, 24]"
Beef with 8 segments for 4 permutations and nobottleneck,0.80453878439936,27.2683341474741,207.964822627336,92.5681814427485,180.696488479862,25,1,"[48.53042053951566, 56.98414771090906, 40.146829377828126, 45.655550135602326, 27.268334147474075]","[207.96482262733616, 149.27819828036363, 95.77354219495605, 126.73646941321081, 188.02038502790344]","[132.84096884494969, 90.83928077453903, 69.6042683086512, 85.16597150791351, 84.39041777768915]","[159.4344020878205, 92.29405056945455, 55.626712817127924, 81.08091927760849, 160.75205088042938]","[0, 7, 17, 22, 25]","[1, 6, 16, 21, 29]"
Beef with 8 segments for 5 permutations and nobottleneck,0.703234385855084,31.7036160059798,245.799343320638,80.7613886407981,214.095727314658,11,3,"[63.788594766414725, 31.703616005979775, 33.28369396467185, 35.57399406316591, 48.008145071519046]","[245.79934332063777, 120.99584660053193, 112.39229334289837, 94.61300905078876, 125.89944136062115]","[133.72510530266823, 72.43866266660984, 64.5071814222887, 56.86549039040542, 76.2705034220184]","[182.01074855422306, 89.29223059455217, 79.10859937822653, 59.03901498762285, 77.89129628910212]","[0, 11, 13, 21, 24]","[3, 7, 17, 19, 29]"
Beef with 8 segments for 6 permutations and nobottleneck,0.602083496320674,30.1327349597998,204.58380304406,67.4296847315812,174.45106808426,16,25,"[65.45912222176402, 31.58856315070779, 30.13273495979981, 31.981257053102645, 36.47680890844842]","[183.14783078497385, 94.16202095334393, 61.821470603320186, 56.0078875959886, 204.5838030440598]","[110.19041591379671, 63.50367064200154, 44.66131828166508, 47.49851803123584, 71.29450078920699]","[117.68870856320983, 62.573457802636135, 31.688735643520378, 24.026630542885954, 168.1069941356114]","[2, 10, 16, 23, 28]","[4, 9, 13, 20, 25]"
Beef with 8 segments for 7 permutations and nobottleneck,0.615629600444956,17.7433302430717,183.643913802212,70.9960061687342,165.90058355914,19,1,"[43.69170006368494, 34.84402782067296, 28.23551406844515, 17.743330243071743, 60.48544947368706]","[183.64391380221204, 71.3580003021842, 127.28720629563259, 70.7559811625874, 167.48934449817722]","[98.12311155036122, 56.03880574381993, 58.52064549812207, 49.106562090416624, 93.19090596095096]","[139.9522137385271, 36.51397248151123, 99.05169222718743, 53.012650919515664, 107.00389502449016]","[5, 8, 12, 19, 25]","[1, 9, 13, 20, 26]"
Beef with 8 segments for 8 permutations and nobottleneck,0.583223778163688,23.1697525790031,187.762355425986,69.4512671003149,164.592602846983,12,16,"[29.429068263463478, 28.178373317477238, 23.169752579003088, 41.26931995394429, 25.421065973715283]","[151.32960038655133, 94.9011662072343, 187.76235542598639, 88.34277668755848, 100.05309677560625]","[90.24072988074522, 61.626958309822726, 78.70097678293094, 54.86023169218944, 61.82743883588598]","[121.90053212308786, 66.72279288975706, 164.5926028469833, 47.073456733614194, 74.63203080189096]","[4, 11, 12, 21, 25]","[5, 9, 16, 18, 27]"
Beef with 9 segments for 1 permutations and bottleneck,1.27175298808886,77.8534757381006,367.090215322771,207.888450113135,289.23673958467,20,4,"[114.13687213761231, 134.3628273036761, 162.50283464396375, 77.8534757381006, 196.84590351006315]","[367.090215322771, 216.17332030737765, 263.7579020030283, 323.2956195070448, 255.43276165003184]","[234.9713224445587, 185.41892817373932, 213.40956025915872, 186.40914315979236, 219.23329652842517]","[252.95334318515864, 81.81049300370154, 101.25506735906453, 245.44214376894422, 58.58685813996868]","[0, 8, 15, 20, 28]","[4, 11, 17, 23, 24]"
Beef with 9 segments for 1 permutations and nobottleneck,1.10637564134196,41.7067508071382,254.239859498629,136.794285205017,212.533108691491,16,4,"[103.88324049534675, 84.40998906301208, 41.70675080713818, 69.73099937233187, 87.33509186099633]","[254.23985949862936, 224.1690602977817, 154.5339644817314, 193.35570082157005, 190.95493307008556]","[162.3872531388431, 157.34280757207162, 107.67524043465892, 122.86566160784791, 133.70046327166207]","[150.35661900328262, 139.75907123476964, 112.82721367459322, 123.62470144923819, 103.61984120908923]","[2, 6, 16, 22, 29]","[4, 8, 13, 23, 27]"
Beef with 9 segments for 2 permutations and nobottleneck,0.877734062218652,28.8540883269406,179.715331135049,91.3109473874667,150.861242808109,19,17,"[86.46065121351508, 38.29621602723228, 35.80060762807298, 28.85408832694057, 51.74276074392502]","[141.476327663656, 173.2173333300611, 179.71533113504924, 124.37214473485392, 133.13009509308407]","[107.13786936143909, 97.98328651003361, 97.05009191382332, 68.94168322332258, 85.44180592871511]","[55.01567645014093, 134.92111730282883, 143.91472350697626, 95.51805640791335, 81.38733434915905]","[4, 11, 13, 19, 27]","[2, 9, 17, 18, 25]"
Beef with 9 segments for 3 permutations and nobottleneck,0.736876678711677,31.892552071647,229.037230444877,83.8507597289376,197.14467837323,11,2,"[62.831584097375796, 31.892552071647025, 36.43680524183756, 48.462577108112235, 39.82026015152288]","[229.03723044487683, 152.0123553937255, 107.75067898312092, 88.06813966379191, 125.41877345858006]","[135.65877106982109, 70.41148948314984, 66.3676986709221, 67.26594433874068, 79.54989508205439]","[166.20564634750104, 120.11980332207847, 71.31387374128336, 39.605562555679676, 85.59851330705717]","[5, 11, 17, 20, 25]","[2, 9, 12, 22, 24]"
Beef with 9 segments for 4 permutations and nobottleneck,0.695562426132584,24.2294987863291,169.095302981007,72.2274421141489,144.865804194678,17,3,"[58.33664365684004, 33.238771995487895, 24.229498786329078, 34.85015372359334, 52.055566319245806]","[169.0953029810073, 98.7285514451533, 88.81982089035643, 84.16851753183161, 102.58139131801295]","[112.21591284378223, 68.95803758589028, 56.51844630319797, 58.00638447022441, 65.43842936764953]","[110.75865932416727, 65.4897794496654, 64.59032210402735, 49.318363808238274, 50.52582499876714]","[4, 10, 17, 19, 24]","[3, 6, 12, 20, 25]"
